,Census_tract,Value_count,change_median,zestimate_median
244,13067031115,468,1.852302195300592,357850.0
245,13067031116,103,1.5556891989415444,392400.0
246,13067031117,503,1.941206284845413,456100.0
247,13067031118,56,1.825475447302714,382750.0
248,13067031119,443,1.985484707102125,337800.0
249,13067031120,320,1.653724089823485,331250.0
250,13067031121,66,1.5225621493596455,268750.0
251,13067031122,34,2.5630170643073336,347000.0
252,13067031207,39,1.418755980861244,496200.0
253,13067031209,174,2.60315211501308,603750.0
254,13067031212,146,2.167495201556506,926600.0
255,13067031213,11,2.121067683508103,492600.0
256,13067031214,25,2.1744186046511627,363200.0
257,13067031215,192,1.5420698627726928,423900.0
258,13067031216,4,0.924380438212282,193850.0
259,13067031217,20,1.940582483592583,616200.0
260,13067031218,73,1.5868436237738026,697600.0
261,13067031219,1,0.9552706552706554,351000.0
262,13067031220,34,2.4448968425107105,480500.0
263,13067031221,80,1.6039014725062093,567650.0
264,13067031306,125,2.0522388059701493,247400.0
265,13067031308,691,2.119521912350598,253200.0
266,13067031314,283,1.69303974622131,419600.0
267,13067031315,535,1.8313791178112788,613800.0
268,13067031316,426,1.5239347617359555,434250.0
269,13067031317,300,1.8909512292525767,258450.0
270,13067031318,129,1.2322521419828645,278500.0
271,13067031319,154,2.0883310053049104,297550.0
272,13067031320,369,1.6556776556776558,277600.0
273,13067031321,9,2.4641867827463395,239500.0
274,13067031322,257,1.9633699633699635,245200.0
275,13067031323,423,2.009912536443149,242300.0
276,13067031324,163,2.081075222198136,409200.0
277,13067031325,67,1.9603212092583848,370500.0
278,13067031409,1350,1.4738565523017706,284400.0
279,13067031410,372,2.0416563801110277,287250.0
280,13067031411,225,1.925270758122744,284600.0
281,13067031412,199,1.7211155378486058,243300.0
282,13067031413,369,1.580345628062935,311900.0
283,13067031414,341,1.576437587657784,350200.0
284,13067031415,328,1.6177493048395946,276300.0
285,13067031416,808,1.5870133165163396,305450.0
286,13067031417,261,2.0577066269545794,219500.0
287,13067031506,742,1.5294230002361733,309100.0
288,13067031507,133,1.6016778523489934,306600.0
289,13067031510,569,1.6318851823118696,288200.0
290,13067031511,468,1.5465053480963493,319000.0
291,13067031512,892,1.5036105163479054,343650.0
292,13067031513,642,1.4814814814814816,334650.0
293,13067031514,141,1.6518987341772151,311700.0
294,13067031515,344,1.6125283273838353,339350.0
295,13067031516,32,1.4608967284438852,501900.0
296,13067031517,323,2.0495988329686363,303400.0
297,13067031518,222,1.5893480994415992,309500.0
298,13089020100,9,1.957585644371941,613000.0
299,13089020200,202,2.293477986870951,1039300.0
300,13089020300,257,2.886247877758913,803900.0
301,13089020400,20,1.242531296380288,766450.0
302,13089020500,71,2.754323725055432,541400.0
303,13089020700,71,2.327926164172843,589100.0
304,13089020801,41,3.434864300626305,615800.0
305,13089020802,253,3.19174732552216,557200.0
306,13089020901,300,2.313875044060546,464350.0
307,13089020902,345,2.842391304347826,445400.0
308,13089021101,770,3.0685772660788877,959050.0
309,13089021103,380,3.181371447027402,911750.0
310,13089021104,96,2.332574570652067,1112600.0
311,13089021204,75,9.043151969981238,276900.0
312,13089021208,257,4.011496612605214,499200.0
313,13089021210,561,3.629656790847756,660800.0
314,13089021211,88,3.721207001761033,501150.0
315,13089021213,64,3.2728105306606015,831550.0
316,13089021217,298,3.4703156577020313,573200.0
317,13089021219,237,3.5147151898734177,621300.0
318,13089021220,295,2.350090854027862,600700.0
319,13089021221,174,2.506466515369871,634900.0
320,13089021222,255,2.339460491764144,625400.0
321,13089021224,356,2.270740603777824,408150.0
322,13089021225,51,3.4758297258297257,848200.0
323,13089021226,8,1.2597811687219176,450650.0
